x,y,z,value
-0.03952,-0.09288000000000007,-1.0,45416.7
-0.03952,-0.08621000000000001,-1.0,10843.699999999999
0.007169999999999899,-0.08621000000000001,-1.0,57893.5
0.013839999999999852,-0.08621000000000001,-1.0,59439.8
-0.006170000000000009,-0.07954000000000006,-1.0,80423.0
0.033849999999999936,-0.07954000000000006,-1.0,60491.200000000004
-0.012840000000000074,-0.07286999999999999,-1.0,122157.0
0.0004999999999999449,-0.07286999999999999,-1.0,60142.600000000006
0.007169999999999899,-0.07286999999999999,-1.0,63286.299999999996
0.013839999999999852,-0.07286999999999999,-1.0,58725.1
-0.032850000000000046,-0.06620000000000004,-1.0,60265.1
-0.026180000000000092,-0.06620000000000004,-1.0,1274.2800000000002
-0.019510000000000027,-0.06620000000000004,-1.0,62315.4
-0.012840000000000074,-0.06620000000000004,-1.0,259616.0
0.0004999999999999449,-0.06620000000000004,-1.0,60767.700000000004
0.007169999999999899,-0.06620000000000004,-1.0,50066.100000000006
0.013839999999999852,-0.06620000000000004,-1.0,70714.0
0.027179999999999982,-0.06620000000000004,-1.0,120260.0
-0.046190000000000064,-0.05953000000000008,-1.0,124278.0
-0.032850000000000046,-0.05953000000000008,-1.0,124838.0
-0.026180000000000092,-0.05953000000000008,-1.0,61195.4
-0.019510000000000027,-0.05953000000000008,-1.0,479261.99999999994
-0.012840000000000074,-0.05953000000000008,-1.0,192458.0
-0.006170000000000009,-0.05953000000000008,-1.0,214886.0
0.0004999999999999449,-0.05953000000000008,-1.0,463750.0
0.007169999999999899,-0.05953000000000008,-1.0,433279.0
0.020510000000000028,-0.05953000000000008,-1.0,60681.6
0.027179999999999982,-0.05953000000000008,-1.0,59840.2
-0.05953000000000008,-0.05286000000000002,-1.0,30750.3
-0.05286000000000002,-0.05286000000000002,-1.0,88473.0
-0.046190000000000064,-0.05286000000000002,-1.0,192178.0
-0.03952,-0.05286000000000002,-1.0,365057.0
-0.032850000000000046,-0.05286000000000002,-1.0,374311.0
-0.026180000000000092,-0.05286000000000002,-1.0,471198.0
-0.019510000000000027,-0.05286000000000002,-1.0,582043.0
-0.012840000000000074,-0.05286000000000002,-1.0,704270.0
-0.006170000000000009,-0.05286000000000002,-1.0,632863.0
0.0004999999999999449,-0.05286000000000002,-1.0,894740.0
0.007169999999999899,-0.05286000000000002,-1.0,474922.0
0.013839999999999852,-0.05286000000000002,-1.0,333193.0
0.020510000000000028,-0.05286000000000002,-1.0,228592.0
0.027179999999999982,-0.05286000000000002,-1.0,123991.0
0.033849999999999936,-0.05286000000000002,-1.0,242361.0
0.04051999999999989,-0.05286000000000002,-1.0,65648.8
-0.07286999999999999,-0.046190000000000064,-1.0,65982.0
-0.06620000000000004,-0.046190000000000064,-1.0,116830.0
-0.05953000000000008,-0.046190000000000064,-1.0,116823.0
-0.05286000000000002,-0.046190000000000064,-1.0,121303.00000000001
-0.046190000000000064,-0.046190000000000064,-1.0,303968.0
-0.03952,-0.046190000000000064,-1.0,470491.0
-0.032850000000000046,-0.046190000000000064,-1.0,703919.9999999999
-0.026180000000000092,-0.046190000000000064,-1.0,1025990.0
-0.019510000000000027,-0.046190000000000064,-1.0,1591730.0
-0.012840000000000074,-0.046190000000000064,-1.0,1028090.0
-0.006170000000000009,-0.046190000000000064,-1.0,1388030.0
0.0004999999999999449,-0.046190000000000064,-1.0,748790.0
0.007169999999999899,-0.046190000000000064,-1.0,789950.0
0.013839999999999852,-0.046190000000000064,-1.0,607285.0
0.020510000000000028,-0.046190000000000064,-1.0,371147.0
0.027179999999999982,-0.046190000000000064,-1.0,175847.00000000003
0.033849999999999936,-0.046190000000000064,-1.0,62757.8
0.04051999999999989,-0.046190000000000064,-1.0,123627.0
0.047190000000000065,-0.046190000000000064,-1.0,61003.600000000006
-0.08621000000000001,-0.03952,-1.0,65788.1
-0.06620000000000004,-0.03952,-1.0,188328.0
-0.05953000000000008,-0.03952,-1.0,98021.0
-0.05286000000000002,-0.03952,-1.0,363867.0
-0.046190000000000064,-0.03952,-1.0,492058.0
-0.03952,-0.03952,-1.0,875210.0
-0.032850000000000046,-0.03952,-1.0,787990.0
-0.026180000000000092,-0.03952,-1.0,1256780.0
-0.019510000000000027,-0.03952,-1.0,1521660.0
-0.012840000000000074,-0.03952,-1.0,2391690.0
-0.006170000000000009,-0.03952,-1.0,1711990.0
0.0004999999999999449,-0.03952,-1.0,2190650.0
0.007169999999999899,-0.03952,-1.0,1702680.0
0.013839999999999852,-0.03952,-1.0,1226610.0
0.020510000000000028,-0.03952,-1.0,705250.0
0.027179999999999982,-0.03952,-1.0,569898.0000000001
0.033849999999999936,-0.03952,-1.0,379309.0
0.04051999999999989,-0.03952,-1.0,120365.0
0.047190000000000065,-0.03952,-1.0,62508.6
0.06719999999999993,-0.03952,-1.0,55910.4
-0.05953000000000008,-0.032850000000000046,-1.0,422653.0
-0.05286000000000002,-0.032850000000000046,-1.0,517083.0
-0.046190000000000064,-0.032850000000000046,-1.0,667884.0
-0.03952,-0.032850000000000046,-1.0,1546650.0
-0.032850000000000046,-0.032850000000000046,-1.0,2445380.0
-0.026180000000000092,-0.032850000000000046,-1.0,1908619.9999999998
-0.019510000000000027,-0.032850000000000046,-1.0,2822050.0
-0.012840000000000074,-0.032850000000000046,-1.0,3314500.0
-0.006170000000000009,-0.032850000000000046,-1.0,4019260.0
0.0004999999999999449,-0.032850000000000046,-1.0,3053260.0
0.007169999999999899,-0.032850000000000046,-1.0,2801400.0
0.013839999999999852,-0.032850000000000046,-1.0,1693510.0
0.020510000000000028,-0.032850000000000046,-1.0,1227660.0
0.027179999999999982,-0.032850000000000046,-1.0,745150.0
0.033849999999999936,-0.032850000000000046,-1.0,749350.0
0.04051999999999989,-0.032850000000000046,-1.0,311808.0
0.047190000000000065,-0.032850000000000046,-1.0,118048.0
0.05386000000000002,-0.032850000000000046,-1.0,62853.0
-0.07954000000000006,-0.026180000000000092,-1.0,59460.1
-0.07286999999999999,-0.026180000000000092,-1.0,241171.0
-0.06620000000000004,-0.026180000000000092,-1.0,118265.0
-0.05953000000000008,-0.026180000000000092,-1.0,458339.0
-0.05286000000000002,-0.026180000000000092,-1.0,834400.0
-0.046190000000000064,-0.026180000000000092,-1.0,652547.0
-0.03952,-0.026180000000000092,-1.0,1511440.0
-0.032850000000000046,-0.026180000000000092,-1.0,3216220.0
-0.026180000000000092,-0.026180000000000092,-1.0,3812480.0
-0.019510000000000027,-0.026180000000000092,-1.0,4618600.0
-0.012840000000000074,-0.026180000000000092,-1.0,5233970.0
-0.006170000000000009,-0.026180000000000092,-1.0,5203520.0
0.0004999999999999449,-0.026180000000000092,-1.0,4783310.0
0.007169999999999899,-0.026180000000000092,-1.0,4143790.0
0.013839999999999852,-0.026180000000000092,-1.0,2463860.0
0.020510000000000028,-0.026180000000000092,-1.0,1684550.0
0.027179999999999982,-0.026180000000000092,-1.0,1343370.0
0.033849999999999936,-0.026180000000000092,-1.0,566195.0
0.04051999999999989,-0.026180000000000092,-1.0,284802.0
0.047190000000000065,-0.026180000000000092,-1.0,63112.0
0.05386000000000002,-0.026180000000000092,-1.0,57590.4
-0.07286999999999999,-0.019510000000000027,-1.0,120211.0
-0.06620000000000004,-0.019510000000000027,-1.0,338478.0
-0.05953000000000008,-0.019510000000000027,-1.0,426118.0
-0.05286000000000002,-0.019510000000000027,-1.0,1057700.0
-0.046190000000000064,-0.019510000000000027,-1.0,1540700.0
-0.03952,-0.019510000000000027,-1.0,2713200.0
-0.032850000000000046,-0.019510000000000027,-1.0,3402560.0
-0.026180000000000092,-0.019510000000000027,-1.0,5573820.0
-0.019510000000000027,-0.019510000000000027,-1.0,5806570.0
-0.012840000000000074,-0.019510000000000027,-1.0,6410950.0
-0.006170000000000009,-0.019510000000000027,-1.0,7717500.0
0.0004999999999999449,-0.019510000000000027,-1.0,6156359.999999999
