x,y,z,value
0.19392999999999994,-0.5331,-1.0,2725.8
0.19392999999999994,-0.45306,-1.0,4256.349999999999
0.19392999999999994,-0.44639000000000006,-1.0,3385.34
0.2005999999999999,-0.44639000000000006,-1.0,4437.86
-0.13957000000000008,-0.39970000000000006,-1.0,4402.16
0.33399999999999985,-0.28631000000000006,-1.0,6343.05
0.33399999999999985,-0.27964,-1.0,309.652
0.10054999999999992,-0.19293000000000005,-1.0,973.5600000000001
0.09387999999999996,-0.18625999999999998,-1.0,11876.2
0.10054999999999992,-0.18625999999999998,-1.0,5517.4
-0.08621000000000001,-0.15291,-1.0,20506.5
0.047190000000000065,-0.15291,-1.0,16354.8
-0.07286999999999999,-0.14624000000000004,-1.0,22502.2
-0.046190000000000064,-0.14624000000000004,-1.0,16767.1
-0.006170000000000009,-0.14624000000000004,-1.0,20217.4
0.027179999999999982,-0.14624000000000004,-1.0,21590.8
-0.05286000000000002,-0.13957000000000008,-1.0,8313.2
-0.03952,-0.13957000000000008,-1.0,18667.6
0.020510000000000028,-0.13957000000000008,-1.0,15668.1
-0.08621000000000001,-0.13290000000000002,-1.0,16165.800000000001
-0.07954000000000006,-0.13290000000000002,-1.0,473.242
-0.05286000000000002,-0.13290000000000002,-1.0,26334.7
-0.03952,-0.13290000000000002,-1.0,22985.9
-0.032850000000000046,-0.13290000000000002,-1.0,20621.300000000003
-0.012840000000000074,-0.13290000000000002,-1.0,19930.399999999998
-0.006170000000000009,-0.13290000000000002,-1.0,18026.4
0.013839999999999852,-0.13290000000000002,-1.0,20178.2
0.06052999999999997,-0.13290000000000002,-1.0,15943.9
0.08054000000000006,-0.13290000000000002,-1.0,16192.4
-0.10622000000000009,-0.12623000000000006,-1.0,19493.600000000002
-0.05953000000000008,-0.12623000000000006,-1.0,43402.8
0.0004999999999999449,-0.12623000000000006,-1.0,17402.0
0.013839999999999852,-0.12623000000000006,-1.0,18813.9
0.04051999999999989,-0.12623000000000006,-1.0,32633.3
0.06052999999999997,-0.12623000000000006,-1.0,19662.3
-0.13957000000000008,-0.11956,-1.0,19119.8
-0.05286000000000002,-0.11956,-1.0,53147.5
-0.032850000000000046,-0.11956,-1.0,38298.4
